secs,km,power,hr,cad,alt
0,0,0,98,0,232
1,0,0,98,0,232.8
2,0,0,99,0,233
3,0.00272,0,100,33,233.2
4,0.00603,117,100,36,233.2
5,0.00981,168,101,55,233.2
6,0.01392,148,102,68,233
7,0.01847,123,102,73,233
8,0.0231,126,103,72,233
9,0.02774,164,104,71,233
10,0.03218,180,105,70,232.8
11,0.03659,180,106,69,232.8
12,0.04092,180,107,69,232.8
13,0.04524,184,107,69,232.8
14,0.04955,190,108,69,232.8
15,0.05386,195,109,70,232.8
16,0.05819,200,110,70,233
17,0.06257,193,110,70,233
18,0.06696,183,111,69,233
19,0.07134,179,111,70,233
20,0.07573,195,112,71,233
21,0.08017,172,113,71,233
22,0.08464,171,114,70,233
23,0.08916,165,115,73,233
24,0.09372,159,116,72,232.8
25,0.0983,184,117,72,232.8
26,0.10285,165,118,71,232.8
27,0.10718,181,119,66,232.8
28,0.1113,177,121,61,232.8
29,0.11513,225,122,60,232.8
30,0.11897,295,123,60,232.8
31,0.12283,291,124,61,232.8
32,0.12672,291,125,61,232.8
33,0.13056,276,125,59,232.8
34,0.13429,267,127,58,232.8
35,0.13794,267,128,56,232.8
36,0.14144,253,129,54,232.8
37,0.14487,253,130,52,233
38,0.14821,260,131,52,233
39,0.15155,273,133,54,233
40,0.15495,273,134,52,233
41,0.15834,255,135,53,233
42,0.16174,247,137,53,233
43,0.16511,241,139,53,233
44,0.16848,231,140,54,233
45,0.17188,231,142,53,233
46,0.17528,239,143,53,233
47,0.17887,239,144,60,233
48,0.18257,252,145,61,233
49,0.18644,226,145,65,233
50,0.19058,226,146,67,232.8
51,0.19469,160,147,65,232.8
52,0.19867,129,147,61,232.8
53,0.20259,169,148,62,232.8
54,0.20637,169,148,67,233
55,0.21015,171,149,67,233
56,0.21395,177,149,68,233
57,0.21779,170,149,67,233
58,0.22162,170,150,66,233
59,0.22546,171,150,68,233
60,0.22935,171,150,69,233
61,0.2333,146,150,69,233
62,0.23727,139,150,70,233
63,0.24125,149,150,71,233
64,0.24533,134,150,72,233
65,0.24947,129,150,73,233
66,0.25367,101,150,73,233
67,0.25787,115,150,74,232.8
68,0.26216,120,150,76,232.8
69,0.26648,148,150,79,232.8
70,0.27093,130,150,80,232.8
71,0.27551,139,150,80,232.8
72,0.28017,131,150,81,233
73,0.28498,136,149,78,233
74,0.28986,141,148,80,233
75,0.29488,138,148,80,233
76,0.29998,143,148,82,233
77,0.30523,136,147,84,233
78,0.31049,123,147,83,232.8
79,0.31583,139,147,85,232.8
80,0.32121,114,147,83,232.8
81,0.32664,122,147,83,232.6
82,0.3321,123,147,83,232.6
83,0.33766,109,146,83,232.6
84,0.34326,108,146,84,232.6
85,0.34888,108,146,85,232.6
86,0.35444,144,146,86,232.6
87,0.36001,130,146,87,232.8
88,0.36566,124,146,81,232.8
89,0.37136,132,146,82,232.8
90,0.37715,126,146,84,232.8
91,0.38304,114,146,84,232.8
92,0.38897,132,146,84,232.8
93,0.39497,132,145,87,232.8
94,0.40098,136,145,86,232.8
95,0.40699,148,144,87,232.8
96,0.41311,148,144,82,232.8
97,0.41927,148,144,82,232.8
98,0.4255,140,144,84,232.8
99,0.43178,143,144,84,232.8
100,0.43809,141,144,84,232.8
101,0.44443,118,143,84,232.8
102,0.45077,122,143,84,232.8
103,0.45708,146,143,86,232.8
104,0.46342,143,143,85,232.8
105,0.46978,130,143,84,232.8
106,0.47612,133,143,84,233
107,0.48245,135,143,85,233
108,0.48879,142,143,85,233.2
109,0.49511,153,143,86,233
110,0.50141,171,143,85,233
111,0.50772,164,143,84,233
112,0.51403,188,142,84,232.8
113,0.52022,221,142,82,232.8
114,0.52636,219,142,81,232.8
115,0.53246,198,142,81,233
116,0.53846,195,142,80,233
117,0.54449,195,141,81,232.8
118,0.55053,200,141,82,232.8
119,0.55661,191,141,81,232.8
120,0.56273,191,141,82,232.8
121,0.56888,190,141,83,232.8
122,0.57503,190,141,82,232.8
123,0.58118,174,141,82,232.8
124,0.58733,160,141,81,232.8
125,0.59345,157,142,82,233
126,0.59952,156,142,80,233
127,0.60555,166,143,80,233
128,0.61159,157,144,81,233
129,0.6176,153,145,80,233
130,0.6236,165,146,80,233
131,0.62958,167,146,80,233
132,0.63559,178,147,82,233
133,0.64171,151,148,81,233
134,0.64786,136,149,82,233
135,0.65408,121,149,84,233
136,0.66033,121,149,84,232.8
137,0.66672,122,149,87,232.8
138,0.67314,95,149,87,232.8
139,0.67961,94,149,89,233
140,0.6861,96,148,88,233
141,0.69265,94,148,89,233
142,0.69926,95,148,90,233
143,0.70595,96,148,89,232.8
144,0.71268,90,148,90,232.8
145,0.7194,90,148,90,232.6
146,0.72615,123,147,92,232.6
147,0.73291,139,146,92,232.6
148,0.73966,163,145,91,232.6
149,0.74642,184,144,92,232.8
150,0.75311,158,144,87,232.6
151,0.75975,133,143,86,232.6
152,0.76625,167,143,88,232.6
153,0.77269,185,141,86,232.6
154,0.77903,183,141,84,232.6
155,0.78536,187,141,84,232.8
156,0.79164,189,140,84,232.8
157,0.7979,192,140,84,232.8
158,0.80415,192,140,84,232.8
159,0.81037,170,140,83,232.8
160,0.81654,187,139,83,232.8
161,0.82271,195,139,82,232.8
162,0.82885,199,139,82,232.8
163,0.83493,197,138,81,232.8
164,0.84098,200,138,80,232.8
165,0.84699,224,138,81,232.8
166,0.853,219,138,81,232.6
167,0.85912,206,138,82,232.6
168,0.86527,197,138,83,232.6
169,0.87153,180,138,84,232.6
170,0.87784,180,138,84,232.6
171,0.88418,180,138,85,232.6
172,0.89054,163,138,85,232.6
173,0.89693,164,139,86,232.8
174,0.90335,150,139,86,232.8
175,0.9098,155,140,86,232.8
176,0.91625,146,140,86,232.8
177,0.92269,118,140,85,232.8
178,0.92911,140,140,84,232.8
179,0.93552,123,140,86,232.6
180,0.94189,130,139,85,232.6
181,0.94825,150,139,86,232.8
182,0.95464,136,139,85,232.8
183,0.96101,123,139,85,232.8
184,0.96735,133,139,86,232.8
185,0.97367,154,139,87,232.8
186,0.98,128,139,84,232.8
187,0.98634,139,139,85,232.8
188,0.99267,129,139,84,232.8
189,0.99901,128,139,84,232.8
190,1.00534,126,138,85,232.8
191,1.01168,86,138,84,232.8
192,1.01799,107,137,85,232.8
193,1.0243,99,137,83,232.8
194,1.03061,84,137,82,232.8
195,1.03689,109,136,88,232.8
196,1.0432,100,137,85,232.8
197,1.04951,97,136,85,232.8
198,1.05581,107,136,85,232.8
199,1.06207,90,136,82,232.6
200,1.06826,105,135,83,232.6
201,1.07443,141,134,83,232.6
202,1.08062,148,134,84,232.6
203,1.08685,148,133,84,232.6
204,1.09316,116,132,84,232.6
205,1.09946,137,131,84,232.6
206,1.10584,137,131,86,232.6
207,1.11223,114,130,85,232.8
208,1.11865,130,130,86,232.8
209,1.12509,130,130,88,232.8
210,1.13157,130,130,86,232.8
211,1.13806,141,130,87,232.8
212,1.1446,129,130,88,232.8
213,1.15118,115,130,88,232.8
214,1.15777,109,131,88,232.8
215,1.16433,98,131,87,232.8
216,1.17088,100,131,89,232.8
217,1.17744,118,131,90,232.6
218,1.18405,120,131,89,232.6
219,1.19065,95,131,87,232.6
220,1.19726,85,131,89,232.8
221,1.20386,91,130,90,232.8
222,1.21047,92,130,90,232.8
223,1.21714,100,129,91,232.8
224,1.22383,99,129,91,232.8
225,1.23061,103,129,92,232.8
226,1.23741,110,129,93,232.8
227,1.24429,110,129,93,232.8
228,1.25118,95,129,93,232.8
229,1.25807,99,129,91,232.8
230,1.26495,189,130,93,232.8
231,1.27189,106,130,91,233
232,1.27886,105,130,93,233
233,1.28583,94,130,93,233
234,1.2928,98,131,93,233
235,1.29975,159,131,96,233
236,1.30677,145,131,92,233.2
237,1.31383,145,132,90,233.2
238,1.32102,201,132,93,233.2
239,1.32834,173,132,92,233
240,1.33598,178,132,95,233
241,1.34374,147,131,98,232.8
242,1.35175,175,131,105,232.8
243,1.35989,152,130,105,232.8
244,1.36818,222,129,107,232.8
245,1.37591,63,128,97,232.8
246,1.38359,173,128,99,232.8
247,1.39158,202,128,83,232.8
248,1.39968,201,127,78,232.6
249,1.40794,181,128,83,232.8
250,1.41635,177,128,85,232.8
251,1.42477,175,128,85,232.8
252,1.43366,160,129,85,232.8
253,1.44271,153,129,87,232.8
254,1.45179,144,129,87,232.8
255,1.46084,151,130,87,232.8
256,1.46984,155,130,87,232.8
257,1.47875,176,131,86,232.6
258,1.48764,185,131,86,232.6
259,1.4965,192,132,86,232.6
260,1.50533,189,132,85,232.6
261,1.51414,189,133,85,232.8
262,1.5229,204,133,85,232.8
263,1.53166,202,134,86,232.8
264,1.54044,195,134,85,232.8
265,1.54927,171,135,86,232.8
266,1.55816,174,135,87,232.8
267,1.5671,157,136,87,232.8
268,1.57609,179,137,91,232.8
269,1.58514,160,137,88,232.8
270,1.59423,141,138,89,232.8
271,1.60331,161,139,88,232.8
272,1.61239,178,139,89,232.8
273,1.62138,178,140,86,233
274,1.63025,155,141,85,232.8
275,1.63906,167,141,87,232.8
276,1.64775,185,141,88,232.8
277,1.65634,210,141,87,232.8
278,1.66484,219,141,87,232.8
279,1.67321,235,142,86,232.8
280,1.68152,240,142,85,232.8
281,1.6897,228,142,81,232.8
282,1.69782,179,142,81,232.8
283,1.70583,215,142,86,232.8
284,1.7138,224,142,86,232.8
285,1.72179,213,142,86,232.8
286,1.7298,213,142,86,232.8
287,1.73783,212,142,88,232.6
288,1.7459,198,143,87,232.6
289,1.754,198,143,88,232.6
290,1.76209,195,144,87,232.8
291,1.77021,181,144,87,232.8
292,1.77833,151,144,87,232.8
293,1.78642,175,145,87,233
294,1.7945,184,145,87,233
295,1.80245,200,145,85,233
296,1.81026,214,146,83,233
297,1.81802,217,146,83,233
298,1.82559,238,146,81,232.8
299,1.83314,251,146,81,232.8
300,1.84065,235,146,81,232.6
301,1.84819,222,146,82,232.4
302,1.85577,214,146,82,232.4
303,1.86347,199,146,83,232.4
304,1.87118,190,147,83,232.4
305,1.87894,190,147,84,232.4
306,1.88675,194,147,85,232.6
307,1.8946,194,148,85,232.6
308,1.90247,199,148,84,232.6
309,1.91035,186,149,85,232.6
310,1.91822,186,149,86,232.6
311,1.92615,193,150,86,232.8
312,1.93414,175,150,86,232.8
313,1.94214,122,151,84,233
314,1.95015,94,151,85,233
315,1.95814,82,151,88,233.2
316,1.96614,79,151,88,233
317,1.97418,113,151,89,232.8
318,1.98236,116,152,95,232.6
319,1.99056,162,152,97,232.6
320,1.99898,151,151,88,232.8
321,2.00752,124,151,87,232.8
322,2.01624,143,151,90,232.8
323,2.02505,173,151,93,233
324,2.03397,147,150,94,233
325,2.04291,173,150,96,233
326,2.05199,156,150,98,233
327,2.06137,152,149,93,233
328,2.07092,108,149,94,233
329,2.08068,140,148,97,233
330,2.09077,170,148,100,233
331,2.10104,197,147,97,233
332,2.11154,185,147,94,233
333,2.12213,218,147,95,232.8
334,2.13274,181,147,97,232.8
335,2.14341,138,147,96,232.8
336,2.15414,141,146,98,232.6
337,2.16498,129,147,97,232.6
338,2.17579,159,147,97,232.6
339,2.18647,256,147,99,232.6
340,2.19703,222,147,97,232.6
341,2.20745,189,147,94,232.6
342,2.21783,253,147,93,232.6
343,2.22807,205,147,91,232.6
344,2.23792,162,147,89,232.6
345,2.24761,145,147,83,232.6
346,2.25696,212,147,88,232.6
347,2.26631,226,147,88,232.6
348,2.2755,237,147,89,232.6
349,2.28469,240,148,89,232.6
350,2.29382,211,148,87,232.8
351,2.30284,127,148,85,232.8
352,2.31165,153,148,86,232.8
353,2.32037,180,149,87,232.8
354,2.329,182,148,88,232.8
355,2.33763,173,148,88,232.6
356,2.34615,181,148,87,232.6
357,2.35465,186,148,88,232.6
358,2.36314,188,148,87,232.6
359,2.37158,192,148,87,232.6
360,2.38002,189,148,86,232.6
361,2.38844,181,149,86,232.6
362,2.39681,186,149,84,232.6
363,2.40507,201,149,84,232.6
364,2.41324,191,150,83,232.6
365,2.42123,208,150,84,232.6
366,2.42919,214,150,85,232.6
367,2.43709,213,150,85,232.6
368,2.44495,214,150,85,232.6
369,2.45279,212,150,85,232.6
370,2.46064,212,150,84,232.6
371,2.46843,204,150,85,232.6
372,2.47622,205,150,84,232.6
373,2.48399,202,150,84,232.6
374,2.49175,208,150,83,232.4
375,2.49951,228,150,84,232.4
376,2.5073,224,150,84,232.4
377,2.5151,234,150,84,232.4
378,2.52291,225,151,85,232.4
379,2.53075,211,151,84,232.6
380,2.53856,220,151,84,232.6
381,2.54635,209,151,84,232.6
382,2.55412,216,151,83,232.6
383,2.5618,221,151,83,232.6
384,2.56945,221,151,82,232.6
385,2.57691,224,151,79,232.6
386,2.58412,242,151,76,232.6
387,2.59114,246,151,73,232.8
388,2.59718,111,151,58,232.8
389,2.60286,247,151,77,232.8
