secs,km,power,hr,cad,alt
0,0,129,76,31,207.8
1,0.00178,106,75,41,207.6
2,0.00357,122,76,43,207.6
3,0.00741,146,77,45,207.6
4,0.01142,131,77,57,207.6
5,0.0156,136,78,67,207.8
6,0.01987,137,80,68,207.8
7,0.02423,132,82,70,207.8
8,0.02863,130,83,70,207.8
9,0.03309,130,85,72,207.8
10,0.03755,126,86,72,207.8
11,0.04203,124,87,70,207.8
12,0.04652,114,89,69,207.8
13,0.05094,110,90,70,207.8
14,0.05512,115,92,67,207.8
15,0.05933,139,93,69,207.8
16,0.06367,121,92,71,207.8
17,0.06811,127,93,70,207.8
18,0.07264,130,94,72,207.8
19,0.07718,131,95,72,207.8
20,0.08177,133,97,73,208
21,0.08636,128,98,73,207.8
22,0.09092,99,99,72,207.8
23,0.09546,123,100,71,207.6
24,0.09996,123,101,71,207.8
25,0.10447,121,102,71,207.4
26,0.10898,102,103,71,207.8
27,0.11348,135,104,73,207.8
28,0.11802,138,105,74,207.8
29,0.12261,119,107,73,208
30,0.1272,110,108,70,208
31,0.13173,127,108,72,208
32,0.13627,118,110,72,207.8
33,0.1408,96,111,70,207.8
34,0.14526,100,112,70,207.6
35,0.14963,102,113,69,207.6
36,0.15398,102,114,70,207.8
37,0.15827,97,115,68,207.8
38,0.16256,116,116,70,208
39,0.16688,117,118,69,208
40,0.17128,130,118,70,208
41,0.17576,155,119,72,208.2
42,0.18027,125,119,73,208.2
43,0.18483,138,119,72,208
44,0.18942,140,120,73,208
45,0.19404,126,120,73,208
46,0.19861,109,120,73,208
47,0.20317,124,120,73,208
48,0.20773,124,120,73,208
49,0.21232,117,120,74,207.8
50,0.217,89,120,75,207.8
51,0.22187,108,120,79,207.6
52,0.22677,71,121,80,207.6
53,0.23169,65,121,78,207.8
54,0.23665,87,121,80,207.8
55,0.24169,91,121,81,207.8
56,0.24675,82,121,80,207.8
57,0.25187,56,121,80,207.8
58,0.25698,76,121,82,207.8
59,0.26209,71,121,81,207.8
60,0.26726,94,121,82,207.8
61,0.27246,77,121,82,207.8
62,0.27766,83,121,84,207.8
63,0.28291,70,121,82,207.8
64,0.28816,65,121,82,207.8
65,0.29339,66,121,83,207.8
66,0.29861,75,121,83,207.8
67,0.30382,106,121,84,207.8
68,0.30902,90,121,81,208
69,0.31422,116,121,84,208
70,0.31942,107,121,83,208
71,0.32462,96,121,81,208
72,0.32976,125,121,82,208
73,0.33487,141,121,84,208
74,0.33994,134,120,80,208
75,0.34495,148,121,79,208
76,0.34987,168,121,77,208
77,0.35468,148,120,76,208
78,0.35933,201,120,81,208
79,0.36392,212,120,80,208
80,0.36834,168,120,76,208
81,0.37263,187,120,75,207.8
82,0.37681,176,120,79,207.8
83,0.38091,177,120,78,207.8
84,0.38501,187,120,79,207.8
85,0.38902,187,120,77,207.8
86,0.39303,185,120,77,207.8
87,0.39701,186,121,77,207.8
88,0.401,186,122,77,207.8
89,0.40498,188,122,77,208
90,0.40897,191,123,77,208
91,0.41298,180,124,77,208
92,0.41699,175,124,76,208
93,0.42097,188,125,77,208
94,0.42496,181,125,76,208
95,0.42892,176,125,75,207.8
96,0.43284,181,125,76,207.8
97,0.43677,181,125,76,208
98,0.44067,184,125,75,208
99,0.44454,171,125,74,208
100,0.44842,176,125,74,208
101,0.45224,176,125,73,208
102,0.45607,200,125,74,208.2
103,0.45991,200,125,75,208.2
104,0.46381,190,125,74,208.2
105,0.46771,195,125,75,208
106,0.47154,175,125,73,208
107,0.47531,181,125,72,208
108,0.47902,193,125,72,208
109,0.48273,192,125,72,208
110,0.48648,199,125,72,208
111,0.49025,199,126,72,208
112,0.49402,182,126,71,208
113,0.49776,196,126,72,208
114,0.50147,187,126,71,208
115,0.50513,178,127,70,208
116,0.5087,189,127,69,208
117,0.51222,182,127,67,208
118,0.51571,184,127,67,208
119,0.5192,192,128,67,208
120,0.52269,190,128,66,208
121,0.52612,191,129,65,208
122,0.52951,185,129,64,208
123,0.53289,188,130,64,207.8
124,0.53621,188,130,64,207.8
125,0.53947,178,131,62,207.8
126,0.54274,193,131,64,207.8
127,0.54601,157,132,62,207.8
128,0.54917,185,132,61,207.8
129,0.55233,180,132,61,207.8
130,0.55552,184,133,62,207.8
131,0.55879,199,133,65,207.8
132,0.56218,181,133,65,208
133,0.56556,182,134,65,208
134,0.56905,179,134,67,208
135,0.57257,182,134,68,208
136,0.57609,177,134,69,208
137,0.57966,181,135,68,208
138,0.58324,178,135,68,208
139,0.58678,190,135,67,208
140,0.59022,176,135,64,208
141,0.59356,190,135,64,208
142,0.59689,198,135,65,208
143,0.60024,202,135,65,208
144,0.60362,183,135,65,208
145,0.60708,177,135,66,208
146,0.61055,177,135,66,208
147,0.61412,180,135,72,208
148,0.61778,188,135,70,208.2
149,0.62152,177,134,72,208.2
150,0.62526,175,134,71,208.2
151,0.629,174,134,72,208.2
152,0.63274,175,134,72,208
153,0.63649,178,135,73,208.2
154,0.64026,179,135,73,208.2
155,0.64405,170,136,73,208.2
156,0.64785,163,136,72,208.2
157,0.65162,156,136,71,208.2
158,0.65536,170,136,73,208.2
159,0.6591,161,136,71,208.2
160,0.66282,159,137,71,208.2
161,0.66653,163,136,71,208.2
162,0.6703,175,136,73,208.2
163,0.6741,171,136,74,208.2
164,0.6779,171,136,74,208.2
165,0.6818,165,136,75,208.2
166,0.6857,161,136,76,208.2
167,0.6896,165,136,76,208.2
168,0.6935,165,136,76,208.2
169,0.69742,164,136,76,208.2
170,0.70135,165,135,76,208.2
171,0.70532,160,135,76,208.2
172,0.70925,149,135,75,208
173,0.71317,172,134,76,208
174,0.7171,159,134,76,208
175,0.72106,150,134,76,208
176,0.72502,165,134,77,208
177,0.72901,158,134,77,208
178,0.73299,161,134,77,208
179,0.73701,155,134,77,208
180,0.74102,154,134,76,208
181,0.74509,168,134,79,208
182,0.74915,151,134,78,208.2
183,0.75325,159,134,78,208.2
184,0.75735,157,134,80,208
185,0.76147,156,134,79,208.2
186,0.76559,152,133,79,208.2
187,0.76975,155,133,80,208.2
188,0.77393,144,132,80,208.2
189,0.77813,155,131,82,208
190,0.78237,163,130,83,208
191,0.78674,134,129,85,208
192,0.7911,158,128,85,208
193,0.79554,160,128,81,208
194,0.8,138,127,79,208
195,0.8045,138,127,79,207.8
196,0.80904,133,127,80,208
197,0.8136,132,127,81,208
198,0.81816,114,127,79,207.8
199,0.82273,141,127,80,207.8
200,0.82735,130,126,82,208
201,0.83203,127,126,82,208
202,0.8367,135,126,82,208
203,0.84141,135,125,83,208
204,0.84613,134,125,83,208
205,0.85086,121,125,82,208
206,0.85556,140,125,83,208
207,0.86024,129,125,82,208
208,0.86485,205,124,83,208
209,0.86948,202,124,85,208
210,0.87433,198,123,80,208
211,0.87924,185,123,80,208
212,0.8843,179,123,79,208
213,0.88937,189,123,79,208
214,0.8944,209,123,79,208
215,0.89933,249,123,76,208
216,0.90419,239,123,75,208
217,0.90895,244,124,75,207.8
218,0.91363,244,124,73,207.8
219,0.91816,224,124,71,207.8
220,0.92264,162,124,69,208
221,0.92685,121,124,64,208
222,0.93086,151,124,62,208
223,0.9347,164,124,63,208
224,0.93853,201,124,66,208
225,0.94246,214,124,71,208
226,0.94644,202,124,71,208
227,0.95054,191,124,72,208
228,0.95463,184,124,71,208
229,0.95873,191,124,72,208
230,0.96283,194,125,72,208
231,0.96698,195,125,73,208
232,0.97116,199,125,74,208
233,0.9754,174,126,74,208.2
234,0.97963,174,126,72,208.2
235,0.9837,111,126,68,208.2
236,0.98763,61,126,65,208.2
237,0.99143,115,126,68,208.2
238,0.9953,161,126,72,208.2
239,0.99939,158,126,74,208.2
240,1.00366,140,126,75,208.2
241,1.00801,126,126,75,208.4
242,1.01237,99,126,74,208.4
243,1.01669,122,126,75,208.4
244,1.02101,120,126,77,208.4
245,1.02533,124,126,77,208.2
246,1.02973,143,126,78,208.2
247,1.03416,104,126,77,208.2
248,1.03859,124,126,78,208.2
249,1.04302,134,125,78,208.2
250,1.04745,132,124,78,208
251,1.05188,137,124,78,208
252,1.05634,141,123,78,208
253,1.06076,148,123,78,208
254,1.06518,153,123,77,208
255,1.06961,162,123,77,208
256,1.07404,193,123,79,208
257,1.0785,187,123,78,208
258,1.08296,183,123,78,208
259,1.08741,188,123,78,208
260,1.09187,195,123,78,208
261,1.09633,194,122,78,208
262,1.10078,197,122,78,208.2
263,1.10527,207,122,78,208.2
264,1.10975,202,122,78,208.2
