secs,km,power,hr,cad,alt
0,0,80,111,59,120
1,0.00442,75,112,67,120
2,0.00896,75,113,69,120
3,0.01355,65,113,69,120
4,0.01817,55,113,68,120.2
5,0.02281,81,112,68,120.2
6,0.0276,100,112,71,120.2
7,0.0325,69,111,72,120
8,0.0374,64,111,71,120
9,0.0423,71,110,71,120
10,0.04722,73,111,74,120
11,0.05218,72,111,75,120
12,0.05719,69,110,75,120
13,0.06223,83,108,76,120
14,0.06726,80,107,76,120
15,0.07236,75,107,77,120
16,0.0775,99,106,78,120
17,0.08267,72,107,75,120
18,0.08778,104,108,70,120
19,0.09262,99,108,68,120
20,0.09715,99,107,68,120
21,0.10168,100,107,68,120
22,0.1064,107,107,73,120
23,0.11151,96,107,76,120
24,0.11662,108,107,76,120
25,0.1219,89,108,78,120
26,0.12723,101,108,78,120.2
27,0.13263,80,109,78,120.2
28,0.13801,81,110,81,120.2
29,0.14337,71,110,77,120.2
30,0.14873,62,110,76,120.2
31,0.15365,28,111,69,120
32,0.15852,73,111,71,120
33,0.16342,87,111,73,119.8
34,0.16846,96,111,74,119.8
35,0.1736,91,111,75,119.8
36,0.17882,87,111,79,119.8
37,0.18407,76,112,78,119.8
38,0.18936,84,112,79,120
39,0.19469,94,113,84,120
40,0.20006,87,114,85,120
41,0.20542,75,114,84,120
42,0.21079,86,115,77,120
43,0.21613,79,116,77,120
44,0.22146,77,116,80,120
45,0.22682,69,116,80,120
46,0.23218,76,116,82,120.2
47,0.23752,76,116,82,120.2
48,0.24288,99,116,84,120.2
49,0.24827,111,116,78,120.2
50,0.25369,98,116,76,120.2
51,0.25919,90,117,81,120.4
52,0.26472,100,117,79,120.2
53,0.27028,110,117,81,120.2
54,0.27592,102,117,80,120
55,0.28161,104,117,84,120
56,0.28733,109,117,80,120
57,0.2931,109,117,83,120
58,0.29891,97,117,83,120
59,0.30477,94,117,82,120
60,0.31063,91,117,84,120
61,0.31648,89,117,81,120
62,0.32234,99,116,83,120
63,0.32803,105,117,76,120.2
64,0.33342,26,117,75,120.2
65,0.33865,60,116,78,120
66,0.34397,109,116,79,120
67,0.34937,119,116,80,120
68,0.35495,117,115,61,120
69,0.36062,118,115,60,120
70,0.36637,124,115,63,120
71,0.37212,126,115,63,120
72,0.37803,133,115,64,120.2
73,0.38403,122,115,64,120.2
74,0.39011,122,115,65,120.2
75,0.39621,114,115,65,120.2
76,0.40235,111,115,66,120.2
77,0.40851,125,115,67,120.2
78,0.41472,113,116,66,120.2
79,0.42096,113,116,67,120.2
80,0.42723,139,116,68,120.2
81,0.43356,117,116,68,120.2
82,0.43991,117,116,68,120.2
83,0.4463,122,116,69,120.2
84,0.45268,130,117,69,120.2
85,0.45912,124,117,69,120.2
86,0.46555,121,117,69,120.2
87,0.47202,112,117,69,120.2
