secs,km,power,hr,cad,alt
0,0,0,104,0,214
1,0.00338,0,104,73,213.6
2,0.00676,108,104,74,213.6
3,0.01013,105,103,80,213.6
4,0.0153,102,104,80,213.4
5,0.0204,104,104,80,213.6
6,0.02548,120,105,83,213.6
7,0.03055,95,105,78,213.6
8,0.03559,111,106,80,213.6
9,0.04063,110,107,80,213.4
10,0.04566,107,108,79,213.4
11,0.05067,110,109,80,213.4
12,0.0557,115,109,81,213.4
13,0.06074,108,110,79,213.4
14,0.06574,109,110,79,213.4
15,0.07078,119,110,81,213.6
16,0.07588,112,110,81,213.6
17,0.08099,107,109,82,213.6
18,0.08591,72,109,74,213.6
19,0.09078,167,109,79,213.6
20,0.09584,105,108,80,213.6
21,0.10094,117,108,80,213.6
22,0.10608,107,108,82,213.6
23,0.11122,109,108,81,213.6
24,0.11636,102,109,80,213.6
25,0.12146,114,109,81,213.8
26,0.12655,113,110,79,213.8
27,0.13164,118,110,82,213.8
28,0.13681,112,111,82,213.8
29,0.14198,106,111,81,213.8
30,0.14715,113,112,81,213.6
31,0.15226,110,113,80,213.6
32,0.15732,117,113,81,213.4
33,0.16235,102,114,79,213.4
34,0.16736,118,114,80,213.4
35,0.17241,122,115,81,213.4
36,0.17747,106,115,79,213.6
37,0.18256,112,115,83,213.6
38,0.18767,122,115,82,213.6
39,0.19281,106,115,80,213.6
40,0.19785,109,116,79,213.6
41,0.20285,127,116,80,213.6
42,0.20789,113,116,80,213.6
43,0.21289,113,115,80,213.6
44,0.21793,121,115,81,213.6
45,0.22299,114,115,80,213.6
46,0.22805,114,115,80,213.6
47,0.23312,118,114,80,213.6
48,0.23818,114,115,80,213.6
49,0.24321,106,114,79,213.6
50,0.24819,118,114,78,213.6
51,0.25314,122,114,80,213.4
52,0.25811,100,114,78,213.4
53,0.26303,114,114,77,213.4
54,0.26795,131,115,80,213.4
55,0.27295,119,116,79,213.4
56,0.27799,126,116,79,213.6
57,0.28308,116,116,82,213.6
58,0.2882,120,116,80,213.6
59,0.29331,119,115,83,213.6
60,0.29842,119,116,79,213.6
61,0.30354,122,116,81,213.8
62,0.30862,118,116,81,213.8
63,0.31371,119,117,81,213.8
64,0.3188,120,118,81,213.8
65,0.32389,115,118,81,213.8
66,0.329,123,119,82,213.6
67,0.33414,112,120,81,213.6
68,0.33925,113,121,80,213.6
69,0.34431,119,121,81,213.6
70,0.34938,123,122,81,213.6
71,0.35444,119,122,81,213.6
72,0.35952,118,123,80,213.6
73,0.36462,123,123,81,213.6
74,0.3697,119,124,81,213.6
75,0.3748,116,124,80,213.6
76,0.37985,123,125,80,213.6
77,0.38492,125,125,80,213.6
78,0.38999,118,126,80,213.6
79,0.39505,125,126,80,213.6
80,0.40014,121,127,80,213.6
81,0.40525,131,127,82,213.6
82,0.41036,118,127,80,213.8
83,0.4155,123,126,82,213.8
84,0.42065,122,126,82,213.6
85,0.42579,121,126,82,213.6
86,0.43093,124,126,80,213.6
87,0.43604,113,125,80,213.6
88,0.44113,131,125,81,213.6
89,0.44627,119,125,82,213.6
90,0.45141,117,125,80,213.6
91,0.45649,126,124,81,213.8
92,0.46159,119,125,81,213.8
93,0.46667,120,124,81,213.8
