secs,km,power,hr,cad,alt
0,0,127,96,77,300.6
1,0.00538,123,96,77,300.8
2,0.01081,129,97,77,300.8
3,0.01623,126,98,76,300.8
4,0.02165,130,99,76,301
5,0.02709,130,99,78,301
6,0.03257,135,101,79,301
7,0.03815,126,101,81,301
8,0.04372,112,103,78,301
9,0.04926,130,103,78,301
10,0.05476,136,104,78,301
11,0.0603,140,105,80,301
12,0.06585,129,106,79,301
13,0.07148,118,107,80,301
14,0.07712,117,107,78,301
15,0.08268,129,108,78,301
16,0.08813,129,109,76,301
17,0.09358,155,110,79,301
18,0.09905,129,111,80,300.8
19,0.10458,126,111,79,300.8
20,0.11014,134,112,79,300.8
21,0.11566,122,112,79,300.6
22,0.1212,138,113,79,300.6
23,0.12681,138,113,80,300.6
24,0.13241,142,114,78,300.6
25,0.13827,138,114,90,300.6
26,0.14419,138,115,91,300.6
27,0.14986,96,115,78,300.8
28,0.15507,142,116,81,300.8
29,0.16046,57,116,91,300.6
30,0.16569,261,116,82,300.6
31,0.17141,307,116,99,300.6
32,0.17715,108,116,80,300.6
33,0.18283,108,116,86,300.6
34,0.1886,103,116,81,300.6
35,0.19441,115,115,84,300.8
36,0.20013,131,116,79,300.8
37,0.2058,132,116,80,300.8
38,0.21141,143,117,80,300.8
39,0.21701,139,117,81,300.8
40,0.22269,144,118,81,300.6
41,0.22836,125,119,79,300.6
42,0.23397,139,120,80,300.8
43,0.23955,140,121,80,300.8
44,0.24518,128,121,80,300.8
45,0.25079,151,122,80,300.8
46,0.25637,146,123,80,300.8
47,0.26198,139,124,80,301
48,0.26765,127,124,80,301
49,0.27334,129,124,81,300.8
50,0.27904,144,125,82,300.8
51,0.28473,138,125,82,300.8
52,0.29042,142,125,80,300.6
53,0.29611,144,125,80,300.6
54,0.3018,143,125,81,300.6
55,0.30744,135,125,79,300.6
56,0.31307,149,125,80,300.6
57,0.31871,141,124,81,300.6
58,0.32438,142,124,81,300.6
59,0.33006,140,124,81,300.6
60,0.33569,135,124,80,300.4
61,0.34133,148,124,81,300.4
62,0.347,132,123,81,300.4
63,0.35264,134,123,79,300.4
64,0.35827,145,123,81,300.4
65,0.36391,142,123,82,300.4
66,0.36958,140,123,80,300.6
67,0.37519,159,122,79,300.6
68,0.38075,151,122,79,300.6
69,0.38633,143,122,79,300.6
70,0.39189,139,122,77,300.6
71,0.39737,150,122,78,300.6
72,0.40284,151,122,78,300.6
73,0.40834,139,121,77,300.6
74,0.41384,145,122,78,300.8
75,0.41937,164,122,80,300.8
76,0.425,151,122,81,300.8
77,0.4307,143,122,81,300.6
78,0.43642,143,122,82,300.6
79,0.44209,142,122,79,300.6
80,0.4477,142,123,79,300.6
81,0.45328,151,123,79,300.6
82,0.45881,159,123,78,300.6
83,0.46439,142,123,79,300.6
84,0.47003,157,123,81,300.6
85,0.4757,147,123,81,300.6
86,0.48139,149,123,80,300.6
87,0.48706,141,123,79,300.6
88,0.49267,170,123,81,300.6
89,0.49828,138,123,80,300.6
90,0.50384,151,124,79,300.6
91,0.5094,161,124,81,300.6
92,0.51504,150,124,80,300.6
93,0.52075,151,124,81,300.6
94,0.52644,144,124,81,300.6
95,0.53207,162,124,82,300.6
96,0.53768,153,124,79,300.6
97,0.54326,155,124,79,300.6
98,0.54884,166,124,80,300.6
99,0.55442,151,124,80,300.6
100,0.56,158,124,80,300.6
101,0.56561,161,124,80,300.6
102,0.57122,147,124,79,300.8
103,0.57682,164,123,80,300.8
104,0.5824,144,123,79,300.8
105,0.58782,144,123,77,300.8
106,0.59324,170,123,80,300.8
107,0.59874,153,123,78,300.8
108,0.60428,154,123,78,300.8
109,0.6098,159,123,79,300.8
110,0.61536,157,123,79,300.8
111,0.62092,160,123,78,301
112,0.62649,160,123,79,301
113,0.6321,160,123,79,301
114,0.63771,154,123,79,301
115,0.64329,151,123,80,301
116,0.64882,156,123,77,300.8
117,0.65433,160,123,79,300.8
118,0.65979,166,123,79,300.6
119,0.6653,168,124,80,300.6
120,0.67086,152,124,79,300.6
121,0.67644,157,124,79,300.6
122,0.68207,168,124,79,300.4
123,0.68768,157,125,79,300.4
124,0.69329,166,125,80,300.4
125,0.69898,166,125,80,300.6
126,0.70462,154,125,77,300.6
127,0.71015,184,125,81,300.6
128,0.71571,163,125,80,300.6
129,0.72132,162,125,79,300.6
130,0.72693,157,124,79,300.6
131,0.73254,173,125,80,300.4
132,0.73814,157,125,79,300.4
133,0.74368,155,124,77,300.4
134,0.74918,167,124,77,300.4
135,0.7547,175,124,80,300.2
136,0.76031,167,124,80,300.2
137,0.766,157,124,81,300.2
138,0.77172,174,124,83,300.2
139,0.77756,162,124,82,300.2
140,0.78336,151,123,80,300
141,0.78911,162,123,79,300
142,0.79466,173,123,79,300
143,0.80022,177,122,80,300.2
144,0.80586,168,122,80,300.2
145,0.81149,162,122,78,300.2
146,0.81705,162,122,80,300.2
147,0.82261,168,122,79,300.2
148,0.82819,172,122,79,300.2
149,0.83377,168,122,80,300.2
150,0.83935,172,122,80,300.4
151,0.84496,160,122,78,300.4
152,0.85048,166,122,78,300.2
153,0.85593,179,122,77,300.2
154,0.86138,163,122,79,300.2
155,0.86688,175,122,80,300.4
156,0.87244,163,122,79,300.4
157,0.87796,170,123,78,300.4
158,0.88347,167,123,77,300.6
159,0.88905,186,123,82,300.6
160,0.89472,166,123,81,300.8
161,0.90041,165,123,80,300.8
162,0.9061,173,123,80,300.8
163,0.9118,170,124,81,301
164,0.91749,179,124,81,301
165,0.92318,148,125,79,301
166,0.92879,174,125,80,300.8
167,0.93437,176,126,80,300.8
168,0.93997,169,126,79,300.8
169,0.94555,177,126,79,300.8
170,0.95113,175,126,79,300.8
171,0.95667,174,126,78,300.8
172,0.96216,179,126,79,300.8
173,0.96767,181,126,79,300.8
174,0.97325,184,126,80,300.8
175,0.97892,184,127,81,300.8
176,0.98463,165,127,81,300.8
177,0.99038,174,127,82,300.8
178,0.99607,170,127,80,300.8
179,1.00171,178,127,80,300.8
180,1.00729,179,127,79,300.8
181,1.01287,181,127,80,300.8
182,1.01847,178,127,80,300.8
183,1.02415,162,127,81,300.8
184,1.02978,174,127,79,300.6
185,1.03534,181,127,79,300.6
186,1.0409,175,127,79,300.6
187,1.04646,185,127,80,300.6
188,1.05206,195,127,80,300.6
189,1.05777,186,128,82,300.6
190,1.06352,171,128,81,300.6
191,1.06924,180,128,81,300.6
192,1.07492,186,129,81,300.8
193,1.08059,178,129,80,301
194,1.08626,180,129,79,301
195,1.09187,190,130,80,301
196,1.09745,185,130,80,301
197,1.10301,187,131,80,301
198,1.10859,179,131,80,301
199,1.11423,178,131,80,300.8
200,1.11986,177,132,79,300.8
201,1.1255,195,132,80,300.8
202,1.1312,189,132,81,300.8
203,1.13695,180,132,82,300.8
204,1.14272,187,132,83,300.8
205,1.14853,175,132,83,300.8
