secs,km,power,hr,cad,alt
0,0,0,78,0,207.8
1,0,0,77,0,207.8
2,0,0,77,0,207.8
3,0,12,77,49,207.8
4,0.00377,47,77,58,207.6
5,0.00915,94,77,59,207.6
6,0.0146,87,77,60,207.6
7,0.01997,61,78,60,207.6
8,0.02528,55,78,72,207.6
9,0.03053,50,79,73,207.6
10,0.0357,46,80,74,207.6
11,0.04092,51,81,77,207.6
12,0.04623,57,82,78,207.4
13,0.0516,59,82,76,207.6
14,0.05696,56,82,76,207.4
15,0.06229,54,82,75,207.4
16,0.06757,53,81,73,207.4
17,0.07271,50,81,73,207.4
18,0.07783,49,81,75,207.6
19,0.083,57,81,76,207.6
20,0.08828,64,81,72,207.6
21,0.09367,65,81,75,207.8
22,0.09936,71,81,75,207.8
23,0.10504,62,82,74,207.6
24,0.11062,50,83,75,207.4
25,0.1162,55,84,75,207.4
26,0.12187,60,85,76,207.4
27,0.12754,63,87,75,207.2
28,0.13323,60,88,76,207.2
29,0.13891,59,90,74,207.4
30,0.14454,57,91,78,207.4
31,0.15018,60,92,76,207.4
32,0.15581,61,93,75,207.4
33,0.16145,59,94,76,207.4
34,0.16712,60,95,74,207.4
35,0.17273,61,96,73,207.4
36,0.17826,57,97,72,207.4
37,0.18377,59,98,72,207.4
38,0.18927,67,98,72,207.4
39,0.19483,69,99,73,207.4
40,0.2004,64,99,74,207.4
41,0.20596,62,100,76,207.6
42,0.21156,64,101,75,207.6
43,0.21717,66,102,75,207.6
44,0.22275,67,102,75,207.6
45,0.22831,62,103,74,207.6
46,0.23382,60,103,75,207.6
47,0.23932,64,103,73,207.6
48,0.24483,65,103,72,207.4
49,0.25025,63,103,75,207.4
50,0.25564,61,103,74,207.4
51,0.26101,62,103,73,207.4
52,0.26636,64,103,74,207.4
53,0.27173,67,103,71,207.6
54,0.27711,70,103,73,207.6
55,0.28264,74,104,73,207.6
56,0.28824,72,104,73,207.6
57,0.29385,69,104,72,207.6
58,0.2994,64,104,74,207.6
59,0.30494,63,105,74,207.6
60,0.31039,64,104,71,207.6
61,0.31583,64,105,74,207.6
62,0.32141,74,106,76,207.6
63,0.32713,76,107,78,207.6
64,0.33283,67,107,75,207.6
65,0.33833,61,107,71,207.6
66,0.3438,59,107,78,207.6
67,0.34933,68,107,77,207.6
68,0.35494,76,107,74,207.6
69,0.3605,74,107,76,207.6
70,0.36605,69,107,75,207.6
71,0.37166,72,107,75,207.6
72,0.37735,74,106,78,207.6
73,0.3831,75,105,77,207.6
74,0.38879,67,105,75,207.6
75,0.39442,62,105,75,207.6
76,0.40009,65,105,78,207.6
77,0.40578,71,105,75,207.6
78,0.41139,71,105,74,207.4
79,0.41691,62,106,74,207.4
80,0.42236,65,106,72,207.6
81,0.42778,70,107,72,207.6
82,0.43325,73,107,74,207.6
83,0.43876,75,107,73,207.6
84,0.44432,73,106,76,207.6
85,0.4499,75,106,75,207.6
86,0.45552,75,106,75,207.6
87,0.46116,73,105,75,207.6
88,0.46671,70,105,73,207.6
89,0.47227,69,104,76,207.6
90,0.47785,73,105,75,207.6
91,0.48346,74,105,75,207.6
92,0.48904,73,105,74,207.6
93,0.49462,71,106,75,207.6
94,0.5002,71,107,74,207.6
95,0.50575,71,106,73,207.6
96,0.5113,71,104,73,207.6
97,0.51684,71,103,73,207.6
98,0.52234,72,102,75,207.4
99,0.52795,78,102,75,207.4
100,0.53358,82,102,74,207.4
101,0.53922,75,102,73,207.4
102,0.54486,73,102,74,207.4
103,0.55049,75,103,74,207.4
104,0.5561,76,103,74,207.4
105,0.56171,73,103,74,207.4
106,0.56732,76,103,73,207.4
107,0.57288,74,103,75,207.6
108,0.57844,74,103,74,207.6
109,0.58399,75,103,74,207.6
110,0.58955,75,103,74,207.6
111,0.59511,75,103,74,207.8
112,0.60064,73,104,73,207.8
113,0.60615,73,104,72,207.8
114,0.6116,74,105,73,207.6
115,0.61705,77,106,74,207.6
116,0.62259,82,106,74,207.6
117,0.62813,82,106,74,207.6
118,0.63371,79,106,74,207.6
119,0.63929,77,107,77,207.6
120,0.64493,80,108,76,207.6
121,0.6506,80,108,75,207.6
122,0.65624,77,109,75,207.6
123,0.66187,77,109,75,207.6
124,0.66755,79,110,77,207.6
125,0.67325,79,110,76,207.6
126,0.67894,79,111,75,207.6
127,0.68455,76,111,74,207.6
128,0.69013,75,110,74,207.6
129,0.69571,78,110,75,207.6
130,0.70131,83,110,77,207.6
131,0.70695,85,109,76,207.6
132,0.71264,84,109,75,207.6
