secs,km,power,hr,cad,alt
0,0,87,101,67,215
1,0.00409,104,102,68,216.4
2,0.00825,69,104,72,216.8
3,0.01246,0,105,72,217.4
4,0.0166,0,107,0,218.2
5,0.01978,0,108,0,218
6,0.02337,0,109,0,217.6
7,0.02757,189,109,64,217.4
8,0.03218,196,110,80,217.2
9,0.03719,184,111,83,217.2
10,0.04216,106,112,88,217
11,0.04726,131,112,81,216.8
12,0.05239,81,113,80,216.8
13,0.05747,64,114,83,217
14,0.06251,73,115,79,217.2
15,0.0675,89,116,80,217.4
16,0.07253,101,117,79,217.4
17,0.07767,88,117,80,217.6
18,0.08281,98,118,81,217.8
19,0.08805,89,119,84,217.8
20,0.09343,95,119,84,217.8
21,0.09881,86,120,86,217.8
22,0.10422,63,120,87,217.6
23,0.10951,19,121,46,217.6
24,0.11484,113,121,82,217.6
25,0.12016,99,121,86,217.6
26,0.12548,85,121,85,218
27,0.13082,63,122,85,218.6
28,0.13607,49,121,84,219
29,0.14129,62,122,84,219
30,0.14648,62,122,84,219.2
31,0.15166,62,121,81,218.6
32,0.15677,24,121,81,218
33,0.1618,24,120,46,217.8
34,0.16665,42,120,0,217.6
35,0.1713,42,119,0,217.4
36,0.17602,44,119,75,217.4
37,0.18071,83,118,75,217.4
38,0.18539,33,118,75,217.4
39,0.19003,15,118,66,217.4
40,0.19459,68,118,74,217.4
41,0.19913,53,118,73,217.4
42,0.20349,0,117,0,217.8
43,0.20771,0,116,0,217.8
44,0.21184,0,115,0,218
45,0.21609,132,114,67,218
46,0.22049,110,114,70,218
47,0.22498,112,114,70,218
48,0.22949,83,113,73,218
49,0.234,77,113,71,218.6
50,0.23847,57,113,72,218.8
51,0.2429,58,114,71,219
52,0.24731,63,114,71,219.2
53,0.25182,63,114,69,219.2
54,0.25642,67,114,72,219
55,0.26118,57,114,74,218.8
56,0.26622,73,112,79,218.8
57,0.27166,73,111,83,218.6
58,0.27729,101,111,87,218.6
59,0.28281,107,111,91,218.6
60,0.28816,69,110,82,219
61,0.29344,87,109,76,219
62,0.29874,86,109,75,219.2
63,0.30401,91,109,75,219
64,0.30926,61,110,74,219.2
65,0.31447,62,111,74,219.2
66,0.31956,0,112,74,219.2
67,0.3244,0,112,0,219.2
68,0.32914,0,112,0,219
69,0.33367,0,111,0,219
70,0.33816,0,110,0,219.2
71,0.34273,72,109,60,219.2
72,0.34733,81,108,65,219.2
73,0.35191,54,107,65,219
74,0.35656,43,107,66,219
75,0.36133,28,107,68,219
76,0.36628,14,107,68,218.8
77,0.37141,14,108,72,218.8
78,0.37665,17,109,73,218.6
79,0.3823,8,110,74,218.6
80,0.38812,3,108,68,218.8
81,0.39433,2,106,61,218.6
82,0.40099,2,103,68,218.4
83,0.4081,2,102,64,218.2
84,0.41548,2,102,65,218.2
85,0.42304,3,100,67,217.8
86,0.43062,46,100,101,217.4
87,0.43818,53,100,74,217
88,0.44565,138,100,75,216.6
89,0.4529,172,101,81,216.4
90,0.4599,126,101,77,216.4
91,0.46665,65,102,77,216.4
92,0.47308,124,103,78,216.4
93,0.47939,121,104,78,216.6
94,0.48536,74,105,79,216.4
95,0.49119,105,106,77,216.6
96,0.49691,108,108,76,216.6
97,0.50246,135,109,74,216.8
98,0.50792,148,110,71,216.8
99,0.51329,146,110,71,217
100,0.51861,158,110,73,217.2
101,0.52393,157,110,75,217.6
102,0.5293,141,110,76,217.8
103,0.53465,145,111,75,218
104,0.53999,158,113,75,218
105,0.54535,158,113,76,218
106,0.55072,154,114,76,218.2
107,0.55608,141,115,77,218.4
108,0.56142,143,116,75,218.6
109,0.56673,140,117,75,218.6
110,0.57207,143,118,76,218.6
111,0.57731,91,118,75,218.6
112,0.58245,107,119,73,218.6
113,0.58748,119,120,73,218.6
114,0.59246,117,120,71,218.8
115,0.59734,110,120,70,219
116,0.60219,107,121,69,219
117,0.60691,103,121,68,219
118,0.61151,72,122,67,219.2
119,0.61613,119,122,65,219.2
120,0.6208,125,122,66,219.6
121,0.62555,149,122,67,219.8
122,0.63035,143,123,68,220.2
123,0.63511,111,123,69,220.4
124,0.63987,122,124,67,220.4
125,0.64464,127,124,67,220.4
126,0.64937,127,124,68,220.6
127,0.65403,110,124,67,220.6
128,0.65869,127,124,66,220.6
129,0.66337,128,125,67,220.6
130,0.66806,122,125,67,220.8
131,0.67273,114,125,67,221
132,0.67744,114,126,66,221
133,0.68219,138,126,67,221.2
134,0.687,143,126,68,221.2
135,0.69183,137,126,69,221.2
136,0.69671,127,126,68,221
137,0.70159,113,126,69,221.2
138,0.70652,135,126,70,221.6
139,0.71153,145,126,71,221.6
140,0.71647,84,126,71,221.8
141,0.7214,122,126,69,222.2
142,0.72637,128,126,71,222.4
143,0.73138,124,126,70,222.6
144,0.73642,131,127,72,222.6
145,0.74141,100,127,70,222.6
146,0.74637,111,126,71,222.6
147,0.75145,152,126,70,222.6
148,0.7565,112,126,73,222.6
149,0.76155,117,127,71,222.8
150,0.76664,110,127,72,222.8
151,0.77172,111,127,72,222.8
152,0.7768,115,127,73,222.8
153,0.78192,127,128,70,222.8
154,0.78709,123,128,74,222.8
155,0.79225,124,127,74,223
156,0.79742,131,127,72,223.2
157,0.80262,133,126,75,223.2
158,0.80779,89,126,74,223.2
159,0.81306,151,126,73,223.2
160,0.81838,133,126,75,223.2
161,0.82374,119,126,76,223.2
162,0.82906,102,126,76,223.4
163,0.83434,79,126,75,223.4
164,0.83964,104,126,75,223.8
165,0.84492,109,126,76,223.8
166,0.85023,103,126,76,224
167,0.85563,105,126,76,224
168,0.86102,94,126,78,224
169,0.86642,112,125,76,224
170,0.87191,103,125,76,224
171,0.87755,109,126,77,223.8
172,0.88321,120,126,80,223.8
173,0.88881,104,126,79,223.6
174,0.89442,106,127,79,223.6
175,0.89994,114,127,81,223.8
176,0.90549,117,126,78,223.8
177,0.91104,122,126,79,223.8
178,0.91661,102,125,79,223.8
179,0.92216,95,125,79,224
180,0.9277,106,124,78,224.2
181,0.93323,107,124,80,224
182,0.93886,99,124,80,224.2
183,0.94451,106,124,80,224.4
184,0.95021,95,125,82,224.6
185,0.956,114,125,82,224.6
186,0.96186,121,125,83,224.8
187,0.96771,81,126,81,224.8
188,0.97362,119,125,77,224.8
189,0.97951,68,126,77,224.8
190,0.98548,103,126,76,224.6
191,0.99152,114,126,78,224.6
192,0.99767,81,126,81,224.6
193,1.00382,65,125,79,224.8
194,1.01,82,125,80,224.8
195,1.0161,60,125,81,224.8
196,1.02222,89,125,80,224.8
197,1.02828,77,126,80,224.8
198,1.03438,74,125,79,224.8
199,1.0405,62,124,80,224.8
200,1.04662,56,124,80,224.8
201,1.05271,43,123,80,224.8
202,1.05876,67,122,79,224.8
203,1.06482,55,121,79,224.8
204,1.07096,88,120,80,224.6
205,1.07714,72,119,80,224.6
206,1.08329,79,119,82,224.8
207,1.08949,58,120,81,224.8
208,1.09573,97,120,81,224.8
209,1.10199,68,121,82,225
210,1.10824,69,121,82,225
211,1.11447,61,122,82,225
212,1.12071,53,121,76,225
213,1.12695,58,120,75,224.8
214,1.13318,70,119,75,224.8
215,1.13939,87,117,74,224.6
216,1.14565,60,114,73,224.8
217,1.15197,103,113,75,224.6
218,1.1583,96,112,76,224.6
219,1.16465,75,112,76,224.6
220,1.17102,65,113,76,224.6
221,1.17739,74,113,76,224.6
222,1.18377,65,115,75,224.6
223,1.19014,72,115,75,224.6
224,1.19649,72,115,76,224.8
225,1.20279,58,115,75,224.8
226,1.20905,42,115,75,224.8
227,1.21531,79,114,75,224.8
228,1.22157,64,113,76,224.8
229,1.22785,84,112,75,224.8
230,1.23413,74,112,75,224.8
231,1.24038,71,113,75,224.8
232,1.24662,61,114,74,224.8
233,1.25286,60,115,75,224.8
234,1.25921,114,115,75,224.8
235,1.26561,81,116,77,224.8
236,1.27196,61,116,76,224.8
237,1.27828,38,117,75,224.8
238,1.28459,81,116,75,224.6
239,1.29093,94,116,75,224.6
240,1.29725,94,115,76,224.6
241,1.3036,70,116,76,224.4
242,1.30992,76,115,75,224.4
243,1.31625,74,116,76,224.6
244,1.32261,78,116,76,224.6
245,1.32902,101,116,75,224.6
246,1.33543,104,116,77,224.6
247,1.3418,68,116,76,224.8
248,1.34817,74,115,76,224.8
249,1.35455,69,115,76,224.8
250,1.36083,61,116,76,224.8
251,1.36711,51,116,75,224.8
252,1.37336,53,117,75,224.8
253,1.37969,99,117,74,224.8
254,1.38605,103,117,78,224.8
255,1.39242,88,118,76,224.8
256,1.39883,95,117,77,224.8
257,1.40532,101,117,77,224.8
258,1.41177,77,117,77,224.8
259,1.41818,61,117,77,224.6
260,1.42454,45,117,76,224.8
261,1.43087,42,117,77,224.8
262,1.43717,73,117,75,224.8
263,1.44345,62,116,75,224.8
264,1.44971,77,116,75,224.8
265,1.45599,78,115,76,224.8
266,1.46231,82,115,75,224.8
267,1.4686,68,115,76,224.8
268,1.47494,66,115,76,224.8
269,1.48126,55,115,75,225
270,1.48752,54,115,75,225
271,1.49371,48,115,74,225.2
272,1.49991,78,115,75,225.2
273,1.5061,73,115,73,225.2
274,1.51232,83,115,75,225.2
275,1.51858,91,116,73,225.2
276,1.5249,86,117,75,225.2
277,1.53121,88,117,76,225.2
278,1.53773,113,118,77,225.2
279,1.54417,122,118,77,225
280,1.55062,81,119,77,225.2
281,1.55713,73,120,77,225
282,1.56367,73,120,77,225
283,1.57016,81,121,78,225
284,1.57659,65,121,78,225
285,1.58304,64,121,77,225
286,1.58945,59,122,78,225.2
287,1.59594,69,122,76,225.4
288,1.60237,72,122,77,225.6
289,1.60876,41,123,77,225.4
290,1.61506,53,123,75,225.6
291,1.62136,52,122,76,225.2
292,1.62762,93,122,74,225.4
293,1.63394,89,120,75,225.2
294,1.6402,82,118,75,225.6
295,1.64653,82,117,76,225.2
296,1.65276,52,116,75,225.2
297,1.659,113,115,75,225.4
298,1.66537,113,115,73,225.2
299,1.67192,134,115,80,225.4
300,1.67829,57,115,77,225.4
301,1.68463,21,115,75,225.4
302,1.69093,48,115,75,225.4
303,1.69717,40,115,75,225.4
304,1.7035,96,115,76,225.4
305,1.70993,111,115,76,225.4
306,1.71631,85,116,77,225.4
307,1.72274,116,115,77,225.4
308,1.72916,77,115,76,225.4
309,1.73561,105,115,77,225.4
310,1.74204,104,115,77,225.2
311,1.74847,120,116,78,225.2
312,1.75492,101,116,78,225.4
313,1.76136,101,116,77,225.4
314,1.76786,109,116,78,225.4
315,1.77437,107,116,77,225.4
316,1.7809,120,117,78,225.4
317,1.78737,94,117,78,225.4
318,1.7939,105,117,78,225.4
319,1.80039,101,117,77,225.6
320,1.80691,108,117,77,225.8
321,1.81342,128,118,78,225.8
322,1.81991,109,118,79,225.8
323,1.82634,113,119,78,225.8
324,1.83275,108,119,76,225.8
325,1.83914,115,120,76,225.8
326,1.84546,80,121,76,225.8
327,1.8518,107,121,75,225.8
328,1.85819,125,121,75,225.8
329,1.86464,123,120,76,225.8
330,1.87113,109,120,78,225.8
331,1.87752,109,119,77,225.8
332,1.88395,101,119,76,226
333,1.89032,115,120,77,226
334,1.89664,84,120,77,226.2
335,1.90292,106,120,75,226.2
336,1.90926,120,121,76,226.4
337,1.91561,123,121,76,226.4
338,1.92193,123,121,75,226.4
339,1.92819,90,121,76,226.6
340,1.93449,119,121,75,226.6
341,1.94077,94,121,74,226.6
342,1.94704,137,122,76,226.6
343,1.95331,91,121,74,226.8
344,1.9596,133,121,75,226.8
345,1.96592,151,121,81,227
346,1.97233,158,121,84,227
347,1.97878,135,121,83,227
348,1.98519,117,121,85,227
349,1.9916,111,122,82,227
350,1.99795,127,122,84,227
351,2.00427,123,123,83,227
352,2.01055,127,123,83,226.8
353,2.01673,120,123,82,227
354,2.0229,127,123,80,227.2
355,2.02906,127,123,80,227.2
356,2.03529,138,123,82,227.4
357,2.04151,128,123,81,227.4
358,2.04755,79,123,75,227.8
359,2.05343,2,124,57,227.8
360,2.0593,90,123,76,227.8
361,2.0653,183,123,77,227.8
362,2.07152,183,123,79,227.8
363,2.07785,165,123,82,228
364,2.08428,196,123,82,228.2
365,2.09077,161,123,86,228.2
366,2.09734,148,123,84,228.4
367,2.10389,129,123,85,228.4
368,2.1105,134,123,86,228.4
369,2.11719,147,123,87,228.4
370,2.12401,155,124,87,228.2
371,2.13092,158,124,90,228.2
372,2.13774,174,125,90,228.2
373,2.14449,103,125,82,228.2
374,2.15116,125,125,80,228.4
375,2.15773,125,126,79,228.4
376,2.16426,159,126,78,228.4
377,2.17062,135,126,78,228.6
378,2.17683,148,126,76,228.6
379,2.18291,201,126,77,228.8
